ReviewID,Review,Hotel,City,UserName,Naive_Bayes T=1/D=0,SVM T=1/D=0,SGD_CLF T=1/D=0,Logistic_Regression T=1/D=0,Decision_Tree T=1/D=0,Final Output T=1/D=0
66,I would not recommend this place.,Taj,Kolkata,Payal,0,0,0,0,1,0
67,The waitress and manager are so friendly.,Taj,Kolkata,Manasi,1,1,1,1,1,1
68,Cant say enough good things about this place.,Taj,Kolkata,Payal,1,1,1,1,1,1
69,"I'd rather eat airline food, seriously.",Taj,Kolkata,Anita,1,0,0,0,1,0
70,By far the BEST cheesecurds we have ever had!,Marriott,Kolkata,Payal,0,0,0,0,1,0
71,first time there and might just be the last.,Marriott,Kolkata,Abhi,0,1,1,1,1,1
72,"A greasy, unhealthy meal.",Marriott,Kolkata,Krishna,0,1,0,0,1,0
73,If there were zero stars I would give it zero stars,Marriott,Kolkata,Krishna,0,1,1,1,1,1
74,Just spicy enough.. Perfect actually,Marriott,Kolkata,Arjun,0,1,0,0,1,0
75,I would recommend saving room for this!,Marriott,Kolkata,Siddhi,0,0,0,0,1,0
76,Generous portions and great taste.,Marriott,Kolkata,Arjun,0,1,1,1,1,1
77,Food was average at best.,Orchid,Pune,Suyasha,0,0,0,0,1,0
78,We won't be going back anytime soon!,Orchid,Pune,Arjun,0,0,0,0,1,0
79,Very Very Disappointed ordered the $35 Big Bay Plater.,Orchid,Pune,Suyasha,0,1,1,1,1,1
80,Great place to relax and have an awesome burger and beer.,Orchid,Pune,Arjun,0,1,0,0,1,0
81,It is PERFECT for a sit-down family meal or get together with a few friends.,Orchid,Pune,Payal,0,0,0,1,1,0
82,"Not much flavor to them, and very poorly constructed",Orchid,Pune,Anita,1,1,1,1,1,1
84,It was just not a fun experience.,Orchid,Pune,Anjali,0,0,0,0,1,0
86,Google mediocre and I imagine Smashburger will pop up,Orchid,Pune,Anjali,1,1,1,1,1,1
87,The plantains were the worst I've ever tasted.,Novotel,Pune,Payal,0,1,0,0,1,0
88,It's a great place and I highly recommend it.,Novotel,Pune,Anita,0,1,0,1,1,1
90,"I gave it 5 stars then, and I'm giving it 5 stars now",Novotel,Pune,Abhi,1,1,1,1,1,1
91,Your staff spends more time talking to themselves than me.,Novotel,Pune,Anjali,0,1,1,0,1,1
92,Dessert: Panna Cotta was amazing.,Novotel,Pune,Siddhi,0,1,1,1,1,1
93,Damn good steak.,Novotel,Pune,Suyasha,1,1,1,1,1,1
94,Total brunch fail.,Novotel,Pune,Arjun,1,1,1,1,1,1
95,"I probably won't be back, to be honest.",Novotel,Pune,Suyasha,0,1,0,1,1,1
96,will definitely be back!,Conrad,Pune,Anjali,0,0,0,0,1,0
97,Went for lunch - service was slow.,Conrad,Pune,Suyasha,0,0,0,0,1,0
98,I was mortified.,Conrad,Pune,Arjun,0,1,1,1,1,1
99,"Needless to say, we will never be back here again.",Conrad,Pune,Siddhi,0,1,1,1,1,1
100,I wasn't really impressed with Strip Steak.,Conrad,Pune,Anita,0,1,0,0,1,0
101,Have been going since 2007 and every meal has been awesome!!,Conrad,Pune,Anita,0,1,0,0,1,0
102,Our server was very nice and attentive as were the other serving staff,Conrad,Pune,Manasi,1,1,1,1,1,1
103,Would not recommend to others.,Conrad,Pune,Arjun,1,0,0,0,1,0
104,"Service is quick and even ""to go"" orders are just like we like it!",Conrad,Pune,Om,0,0,0,0,1,0
105,Not my thing.,Courtyard,Pune,Manasi,0,1,1,0,1,1
106,If you are reading this please don't go there.,Courtyard,Pune,Anita,1,1,1,1,1,1
107,"I loved the grilled pizza, reminded me of legit Italian pizza.",Courtyard,Pune,Om,1,1,1,1,1,1
108,They have a really nice atmosphere.,Courtyard,Pune,Manasi,0,1,0,0,1,0
109,Tonight I had the Elk Filet special...and it sucked.,Courtyard,Pune,Payal,1,1,1,1,1,1
110,"Probably never coming back, and wouldn't recommend it.",Courtyard,Pune,Om,0,0,0,0,1,0
111,"Friend's pasta -- also bad, he barely touched it.",Courtyard,Pune,Manasi,1,1,1,1,1,1
112,Nicest Chinese restaurant I've been in a while.,Courtyard,Pune,Anita,1,1,0,1,1,1
113,"Overall, I like there food and the service.",Courtyard,Pune,Om,0,0,0,0,1,0
114,"Probably never coming back, and wouldn't recommend it.",Hilton,Mumbai,Pranali,0,0,0,0,1,0
115,"Friend's pasta -- also bad, he barely touched it.",Hilton,Mumbai,Anita,1,1,1,1,1,1
116,I love the decor with the Chinese calligraphy wall paper.,Hilton,Mumbai,Abhi,1,1,0,1,1,1
117,Never had anything to complain about here.,Hilton,Mumbai,Payal,0,1,0,0,1,0
118,The restaurant is very clean and has a family restaurant feel to it.,Hilton,Mumbai,Anita,0,1,0,0,1,0
119,It was way over fried.,Hilton,Mumbai,Payal,0,1,0,0,1,0
120,"When I opened the sandwich, I was impressed, but not in a good way",Hilton,Mumbai,Payal,1,1,1,1,1,1
121,Will not be back!,Hilton,Mumbai,Pranali,0,1,0,0,1,0
122,An extensive menu provides lots of options for breakfast.,Hilton,Mumbai,Payal,1,1,1,1,1,1
123,"I got to enjoy the seafood salad, with a fabulous vinegrette.",Hilton,Mumbai,Anita,0,1,0,1,1,1
124,"The wontons were thin, not thick and chewy, almost melt in your mouth.",Hilton,Mumbai,Payal,0,1,1,1,1,1
125,"Level 5 spicy was perfect, where spice didn't over-whelm the soup.",Hilton,Mumbai,Anita,0,1,0,1,1,1
126,We were sat right on time and our server from the get go was FANTASTIC!,Hilton,Mumbai,Payal,0,1,1,1,1,1
127,This is a GREAT place to eat!,Hilton,Mumbai,Anita,1,1,0,1,1,1
128,The jalapeno bacon is soooo good,Hilton,Mumbai,Abhi,1,1,1,1,1,1
129,The service was poor and thats being nice.,Taj,Mumbai,Anita,1,1,1,1,1,1
130,The service was poor and thats being nice.,Taj,Mumbai,Abhi,1,1,1,1,1,1
131,The service was poor and thats being nice..,Taj,Mumbai,Anita,1,1,1,1,1,1
132,The place was not clean and the food oh so stale!,Taj,Mumbai,Abhi,0,0,0,0,1,0
133,"The chicken dishes are OK, the beef is like shoe leather.",Taj,Mumbai,Arjun,1,1,1,1,1,1
134,But the service was beyond bad,Taj,Mumbai,Sayali,1,1,1,1,1,1
135,"I'm so happy to be here!!!""",Taj,Mumbai,Anita,0,1,1,1,1,1
136,Tasted like dirt.,Taj,Mumbai,Sayali,0,1,0,0,1,0
137,The block was amazing.,Taj,Mumbai,Abhi,1,1,1,1,1,1
138,Both the Hot & Sour & the Egg Flower Soups were absolutely 5 Stars!,Taj,Mumbai,Arjun,1,1,1,1,1,1
139,My sashimi was poor quality being soggy and tasteless,Taj,Mumbai,Sayali,0,1,0,1,1,1
140,Great time - family dinner on a Sunday night.,Taj,Mumbai,Anita,1,1,1,1,1,1
141,"the food is not tasty at all, not to say its ""real traditional Hunan style"".",Taj,Mumbai,Sayali,0,0,1,0,1,0
142,"What did bother me, was the slow service",Taj,Mumbai,Anita,0,1,1,0,1,1
143,The flair bartenders are absolutely amazing!,Taj,Mumbai,Sayali,0,1,1,1,1,1
144,Their frozen margaritas are WAY too sugary for my taste.,ITC,Mumbai,Sayali,1,1,0,0,1,1
145,These were so good we ordered them twice.,ITC,Mumbai,Anita,1,1,1,1,1,1
146,My girlfriend's veal was very bad.,ITC,Mumbai,Abhi,1,1,1,1,1,1
147,"Unfortunately, it was not good.",ITC,Mumbai,Anita,1,1,1,1,1,1
148,I had a pretty satifying experience,ITC,Mumbai,Abhi,0,0,0,0,1,0
149,Join the club and get awesome offers via email,ITC,Mumbai,Payal,1,1,0,1,1,1
150,The nachos are a MUST HAVE!,ITC,Mumbai,Anita,0,1,1,1,1,1
151,We will not be coming back.,ITC,Mumbai,Payal,0,0,0,0,1,0
152,"Great atmosphere, friendly and fast service.",ITC,Mumbai,Anita,0,1,0,0,1,0
153,Once your food arrives it's meh,ITC,Mumbai,Payal,0,0,0,0,1,0
154,Do not waste your money here!,Maratha,Mumbai,Anita,0,1,1,1,1,1
155,The cr�pe was delicate and thin and moist.,Maratha,Mumbai,Payal,0,1,1,1,1,1
156,Won't ever go here again.,Maratha,Mumbai,Anita,0,1,0,0,1,0
157,Food quality has been horrible.,Maratha,Mumbai,Payal,0,0,0,0,1,0
158,The service here is fair at best.,Maratha,Mumbai,Anita,0,1,0,0,1,0
159,the potatoes were great and so was the biscuit.,Maratha,Mumbai,Payal,1,1,1,1,1,1
160,So flavorful and has just the perfect amount of heat.,Maratha,Mumbai,Anita,0,1,0,0,1,0
161,The price is reasonable and the service is great.,Maratha,Mumbai,Anita,1,1,1,0,1,1
162,"Went in for happy hour, great list of wines.",Maratha,Mumbai,Payal,0,1,1,1,1,1
163,"This place is pretty good, nice little vibe in the restaurant.",Maratha,Mumbai,Anita,1,1,1,1,1,1
164,I probably won't be coming back here.,Maratha,Mumbai,Payal,0,0,0,0,1,0
165,"This place is not worth your time, let alone Vegas.",ITC,Kolkata,Om,1,1,1,1,1,1
166,this hotel is amazing,Novotel,Pune,Abhi,0,1,0,1,1,1
167,Not worth going,Courtyard,Pune,Arjun,0,1,1,1,1,1
168,wonderful hotel I have ever seen,Orchid,Pune,Om,0,0,0,0,1,0
169,My college name is PCCOE,Orchid,Pune,Anjali,1,1,1,1,1,1
170,Bad Service,Novotel,Pune,Anjali,1,1,1,1,1,1
171,very bad experience,Orchid,Pune,Om,0,1,1,0,1,1
172,wonderful experience,Novotel,Pune,Pranali,0,0,0,0,1,0
173,Not worth going very bad hotel,Novotel,Pune,Arjun,0,1,1,1,1,1
174,good nice ,Orchid,Pune,Suyasha,1,1,1,1,1,1
175,Orchid hotel is amazing,Orchid,Pune,Siddhi,1,1,0,1,1,1
176,Orchid hotel is amazing,Orchid,Pune,Om,1,1,0,1,1,1
177,hotel is the best,Orchid,Pune,Siddhi,0,1,0,1,1,1
178,hotel is good,Orchid,Pune,Suyasha,1,1,1,1,1,1
179,nice good ,Orchid,Pune,Pranali,1,1,1,1,1,1
180,"This place is not worth your time, let alone Vegas.",Orchid,Pune,Suyasha,1,1,1,1,1,1
181,not nice,Orchid,Pune,Pranali,1,1,1,1,1,1
182,nice good beautiful,Orchid,Pune,Sayali,1,1,1,1,1,1
183,"This place is not worth your time, let alone Vegas.",Orchid,Pune,Sayali,1,1,1,1,1,1
184,Orchid hotel is amazing,Orchid,Pune,Anita,1,1,0,1,1,1
185,Orchid hotel is amazing,Orchid,Pune,Sayali,1,1,0,1,1,1
186,"This place is not worth your time, let alone Vegas.",Orchid,Pune,Anita,1,1,1,1,1,1
187,abcde,Orchid,Pune,Sayali,0,1,1,1,1,1
188,was worth going to the hotel,Novotel,Pune,Anita,0,1,1,1,1,1
189,Nice hotel with good staff,Courtyard,Pune,Sayali,1,1,1,1,1,1
190,very good service ,Orchid,Pune,Sayali,1,1,1,1,1,1
191,bad service,Maratha,Mumbai,Anita,1,1,1,1,1,1
192,nice ,Oberoi,Kolkata,Anita,1,1,1,1,1,1
193,this hotel is good,Leela,Bangalore,Sayali,1,1,1,1,1,1
194,nice ,ITC,Mumbai,Abhi,1,1,1,1,1,1
195,nice hotel,Conrad,Pune,Arjun,1,1,1,1,1,1
196,this hotel is good,Hilton,Mumbai,Aditya,1,1,1,1,1,1
197,good service,WelcomHotel,Bangalore,Suyasha,1,1,1,1,1,1
198,very good service ,Oberoi,Kolkata,Abhi,1,1,1,1,1,1
199,bad service,Novotel,Pune,Arjun,1,1,1,1,1,1
200,bad service,Maratha,Mumbai,Abhi,1,1,1,1,1,1
201,bad service,Oberoi,Kolkata,Siddhi,1,1,1,1,1,1
202,bad service,Leela,Bangalore,Abhi,1,1,1,1,1,1
203,this hotel is good,Courtyard,Pune,Arjun,1,1,1,1,1,1
204,nice hotel,Courtyard,Pune,Abhi,1,1,1,1,1,1
205,good service,Courtyard,Pune,Suyasha,1,1,1,1,1,1
206,very nice service loved it,Leela,Bangalore,Abhi,1,1,1,1,1,1
207,good nice ,Leela,Bangalore,Arjun,1,1,1,1,1,1
208,This hotel services are very are amazing,Orchid,Pune,Abhi,0,0,0,0,1,0
209,the hotel is having very good staff and services,Oberoi,Kolkata,Suyasha,1,1,1,1,1,1
210,Hotel is having good service,Conrad,Pune,Abhi,1,1,1,1,1,1
211,"This place is not worth your time, let alone Vegas.",Courtyard,Pune,Siddhi,1,1,1,1,1,1
212,very nice hotel,Orchid,Pune,Suyasha,1,1,1,1,1,1
213,very bad experience,Orchid,Pune,Abhi,0,1,1,0,1,1
214,very bad ,Hilton,Mumbai,Arjun,1,1,1,1,1,1
215,very nice experience,ITC,Kolkata,Siddhi,0,1,0,0,1,0
216,"Very convenient, since we were staying at the MGM!",Novotel,Pune,Abhi,0,1,0,0,1,0
217,hotel is amazing,Conrad,Pune,Pranali,0,1,0,1,1,1
218,not worth going,Courtyard,Pune,Abhi,0,1,1,1,1,1
219,not good,ITC,Mumbai,Anita,1,1,1,1,1,1
220,Good Staff,Hilton,Mumbai,Pranali,1,1,1,1,1,1
221,Good Service and staff,Orchid,Pune,Anita,1,1,1,1,1,1
222,Nice Hotel,Orchid,Pune,Abhi,1,1,1,1,1,1
223,sds,Orchid,Pune,Anita,0,1,1,1,1,1
224,not worth going,Orchid,Pune,Aditya,0,1,1,1,1,1
225,"This place is not worth your time, let alone Vegas.",Orchid,Pune,Anita,1,1,1,1,1,1
226,beautiful hotel,Orchid,Pune,Abhi,0,0,0,0,1,0
227,beautiful hotel,Orchid,Pune,Aditya,0,0,0,0,1,0
228,good service,Novotel,Pune,Abhi,1,1,1,1,1,1
229,this hotel is good,Orchid,Pune,Arjun,1,1,1,1,1,1
230,good service,Novotel,Pune,Sayali,1,1,1,1,1,1
231,nice hotel,Conrad,Pune,Abhi,1,1,1,1,1,1
232,good service,Courtyard,Pune,Aditya,1,1,1,1,1,1
233,nice hotel,Hilton,Mumbai,Sayali,1,1,1,1,1,1
234,very good service ,Taj,Mumbai,Aditya,1,1,1,1,1,1
235,bad service,ITC,Mumbai,Arjun,1,1,1,1,1,1
236,nice hotel,Maratha,Mumbai,Sayali,1,1,1,1,1,1
237,this hotel is good,ITC,Kolkata,Arjun,1,1,1,1,1,1
238,very good service ,Oberoi,Kolkata,Sayali,1,1,1,1,1,1
239,very good service ,Taj,Kolkata,Abhi,1,1,1,1,1,1
240,good service,Marriott,Kolkata,Arjun,1,1,1,1,1,1
241,good service,WelcomHotel,Bangalore,Anita,1,1,1,1,1,1
242,this hotel is good,Leela,Bangalore,Abhi,1,1,1,1,1,1
243,nice hotel,Conrad,Bangalore,Anita,1,1,1,1,1,1
244,bad service,Windsor,Bangalore,Abhi,1,1,1,1,1,1
245,good service,Orchid,Pune,Pranali,1,1,1,1,1,1
246,good service,Orchid,Pune,Arjun,1,1,1,1,1,1
247,very good service ,Orchid,Pune,Siddhi,1,1,1,1,1,1
248,nice hotel,Orchid,Pune,Suyasha,1,1,1,1,1,1
249,this hotel is good,Orchid,Pune,Om,1,1,1,1,1,1
250,very good service ,Orchid,Pune,Suyasha,1,1,1,1,1,1
251,bad service,Orchid,Pune,Abhi,1,1,1,1,1,1
252,very good service ,Orchid,Pune,Om,1,1,1,1,1,1
253,this hotel is good,Orchid,Pune,Payal,1,1,1,1,1,1
254,nice hotel,Orchid,Pune,Anita,1,1,1,1,1,1
255,bad service,Orchid,Pune,Abhi,1,1,1,1,1,1
256,bad service,Orchid,Pune,Om,1,1,1,1,1,1
257,bad service,Orchid,Pune,Payal,1,1,1,1,1,1
258,good service,Orchid,Pune,Om,1,1,1,1,1,1
259,nice hotel,Orchid,Pune,Payal,1,1,1,1,1,1
260,this hotel is good,Novotel,Pune,Abhi,1,1,1,1,1,1
261,nice hotel,Conrad,Pune,Anita,1,1,1,1,1,1
262,bad service,Courtyard,Pune,Abhi,1,1,1,1,1,1
263,bad service,Courtyard,Pune,Anita,1,1,1,1,1,1
264,bad service,Hilton,Mumbai,Abhi,1,1,1,1,1,1
265,nice ,Taj,Mumbai,Anita,1,1,1,1,1,1
266,nice hotel,ITC,Mumbai,Krishna,1,1,1,1,1,1
267,good service,Maratha,Mumbai,Anita,1,1,1,1,1,1
268,bad service,Novotel,Pune,Abhi,1,1,1,1,1,1
269,nice hotel,Taj,Mumbai,Krishna,1,1,1,1,1,1
270,bad service,Oberoi,Kolkata,Abhi,1,1,1,1,1,1
271,nice hotel,Orchid,Pune,Krishna,1,1,1,1,1,1
272,bad service,Orchid,Pune,Abhi,1,1,1,1,1,1
273,very good service ,Orchid,Pune,Anita,1,1,1,1,1,1
274,not good,Orchid,Pune,Krishna,1,1,1,1,1,1
275,not good,Orchid,Pune,Suyasha,1,1,1,1,1,1
276,bad service,Courtyard,Pune,Krishna,1,1,1,1,1,1
277,good service,Courtyard,Pune,Abhi,1,1,1,1,1,1
278,very bad hotel,Courtyard,Pune,Anita,1,1,1,1,1,1
279,bad service,Courtyard,Pune,Aditya,1,1,1,1,1,1
280,very bad hotel,Courtyard,Pune,Siddhi,1,1,1,1,1,1
281,good hotel and amenities,Courtyard,Pune,Anita,0,1,0,1,1,1
282,very bad service,Courtyard,Pune,Aditya,1,1,1,1,1,1
283,very very bad service,Courtyard,Pune,Anita,1,1,1,1,1,1
284,Service is great with staff happy to help,ITC,Kolkata,Siddhi,1,1,1,1,1,1
285,The location is good. The staff try very hard to please. Definitely not worth the money paid for it.,ITC,Kolkata,Abhi,1,1,1,1,1,1
286,"I would stay in this hotel again due to location, cleanliness, service and value to money.",ITC,Kolkata,Arjun,0,1,1,1,1,1
287,not worth going,ITC,Kolkata,Abhi,0,1,1,1,1,1
288,The puri bhaji and upma was super nice and tasty.,ITC,Kolkata,Arjun,1,1,1,1,1,1
289,"Thank you for making our stay so pleasant. Location is also bang on, you find everything near the hotel.",ITC,Kolkata,Abhi,0,1,0,0,1,0
290, Bad service. Small rooms. Careless reception. No room service.,Oberoi,Kolkata,Arjun,1,1,1,1,1,1
291,not worth going,ITC,Kolkata,Aditya,0,1,1,1,1,1
292,not worth going,Oberoi,Kolkata,Arjun,0,1,1,1,1,1
293,The service was beyond bad,Oberoi,Kolkata,Sayali,1,1,1,1,1,1
294,The hotel quality is equal to two starts hotel but they sell at for star hotel rates. Terrible lobby space.,Oberoi,Kolkata,Sayali,1,1,1,1,1,1
295,The hotel quality is equal to two starts hotel but they sell at for star hotel rates. Terrible lobby space.,Oberoi,Kolkata,Anita,1,1,1,1,1,1
296,The hotel quality is equal to two starts hotel but they sell at for star hotel rates. Terrible lobby space.,Oberoi,Kolkata,Aditya,1,1,1,1,1,1
297,not worth going,Oberoi,Kolkata,Anita,0,1,1,1,1,1
298,Bad Service,Oberoi,Kolkata,Sayali,1,1,1,1,1,1
299,Good staff,Oberoi,Kolkata,Aditya,1,1,1,1,1,1
300,"Clean rooms, fast check in, plenty of hot water and good shower.",Taj,Kolkata,Sayali,1,1,1,1,1,1
301,beautiful hotel and rooms,Taj,Kolkata,Aditya,0,0,0,0,1,0
302,I would stay here again but request a different room since I.,Taj,Kolkata,Meena,1,1,1,0,1,1
303,Good food quality and taste,Taj,Kolkata,Anita,0,1,0,0,1,0
304,Good Service and staff,Taj,Kolkata,Meena,1,1,1,1,1,1
305,not worth going,Taj,Kolkata,Anita,0,1,1,1,1,1
306,Very bad hotel small room ,Marriott,Kolkata,Abhi,1,1,1,1,1,1
307,Very bad experience,Marriott,Kolkata,Meena,0,1,1,0,1,1
308,No clean room. Had a bad experience.,Marriott,Kolkata,Anita,0,0,0,0,1,0
309,Very bad Food quality,Marriott,Kolkata,Sayali,0,0,0,0,1,0
310,not worth going,Marriott,Kolkata,Anita,0,1,1,1,1,1
311,amazing experience,Marriott,Kolkata,Meena,0,0,0,0,1,0
312,not worth going in this hotel,WelcomHotel,Bangalore,Anita,0,1,1,1,1,1
313,Bad staff and Services,WelcomHotel,Bangalore,Abhi,1,1,1,1,1,1
314,"This place is not worth your time, let alone Vegas.",WelcomHotel,Bangalore,Aditya,1,1,1,1,1,1
315,Bad food quality,WelcomHotel,Bangalore,Siddhi,0,0,0,0,1,0
316,Bad staff and Services,WelcomHotel,Bangalore,Suyasha,1,1,1,1,1,1
317,The puri bhaji and upma was super nice and tasty,WelcomHotel,Bangalore,Aditya,1,1,1,1,1,1
318,Service is great with staff happy to help,Leela,Bangalore,Payal,1,1,1,1,1,1
319,good hotel and amenities,Leela,Bangalore,Payal,0,1,0,1,1,1
320,The location is good. The staff try very hard to please,Leela,Bangalore,Anita,1,1,1,1,1,1
321,Food was really good and I got full petty fast.,Leela,Bangalore,Abhi,1,1,0,0,1,1
322,The puri bhaji and upma was super nice and tasty.,Leela,Bangalore,Pranali,1,1,1,1,1,1
323,very bad experience.,Leela,Bangalore,Payal,0,1,1,0,1,1
324,hotel is amazing,Conrad,Bangalore,Krishna,0,1,0,1,1,1
325,hotel is the best in services,Conrad,Bangalore,Arjun,0,0,0,0,1,0
326,"This place is not worth your time, let alone Vegas.",Conrad,Bangalore,Krishna,1,1,1,1,1,1
327,not worth going. Bad service,Conrad,Bangalore,Payal,0,1,1,1,1,1
328,Food quality has been horrible.,Conrad,Bangalore,Anita,0,0,0,0,1,0
329,Bad food quality,Conrad,Bangalore,Payal,0,0,0,0,1,0
330,very very bad service,Windsor,Bangalore,Anita,1,1,1,1,1,1
331,Bad service. Small rooms. Careless reception. No room service.,Windsor,Bangalore,Payal,1,1,1,1,1,1
332,not worth going,Windsor,Bangalore,Abhi,0,1,1,1,1,1
333,good hotel and amenities and food quality,Windsor,Bangalore,Arjun,0,1,0,0,1,0
334,not worth going,Windsor,Bangalore,Siddhi,0,1,1,1,1,1
335,"This place is not worth your time, let alone Vegas.",Windsor,Bangalore,Abhi,1,1,1,1,1,1
336,good hotel and amenities,ITC,Kolkata,Payal,0,1,0,1,1,1
337,not worth going,ITC,Kolkata,Anita,0,1,1,1,1,1
